[rosmaster.main][INFO] 2017-07-11 12:50:57,323: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-11 12:50:57,324: Starting ROS Master Node
[rosmaster.master][INFO] 2017-07-11 12:51:38,045: +SERVICE [/rostopic_5473_1499802697906/set_logger_level] /rostopic_5473_1499802697906 http://172.16.244.111:39671/
[rosmaster.master][INFO] 2017-07-11 12:51:38,047: +PUB [/quad_rotor/cmd_vel] /rostopic_5473_1499802697906 http://172.16.244.111:39671/
[rosmaster.master][INFO] 2017-07-11 12:52:52,474: -PUB [/rosout] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:52:52,477: -PUB [/quad_rotor/cmd_force] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:52:52,479: -PUB [/quad_rotor/cmd_vel] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:52:52,482: -PUB [/quad_rotor/pose] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:52:52,483: -PUB [/quad_rotor/imu] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:52:52,485: -PUB [/quad_rotor/image] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:52:52,487: -SERVICE [/quad_rotor/camera_pose_type] / rosrpc://Kyles-MacBook-Pro.local:51094
[rosmaster.master][INFO] 2017-07-11 12:52:52,489: -SERVICE [/quad_rotor/get_plan] / rosrpc://Kyles-MacBook-Pro.local:51094
[rosmaster.master][INFO] 2017-07-11 12:52:52,490: -SERVICE [/quad_rotor/camera_distance] / rosrpc://Kyles-MacBook-Pro.local:51094
[rosmaster.master][INFO] 2017-07-11 12:52:52,492: -SERVICE [/quad_rotor/gravity] / rosrpc://Kyles-MacBook-Pro.local:51094
[rosmaster.master][INFO] 2017-07-11 12:52:52,494: -SERVICE [/quad_rotor/x_force_constrained] / rosrpc://Kyles-MacBook-Pro.local:51094
[rosmaster.master][INFO] 2017-07-11 12:52:52,496: -SERVICE [/quad_rotor/y_force_constrained] / rosrpc://Kyles-MacBook-Pro.local:51094
[rosmaster.master][INFO] 2017-07-11 12:52:52,498: -SERVICE [/quad_rotor/z_force_constrained] / rosrpc://Kyles-MacBook-Pro.local:51094
[rosmaster.master][INFO] 2017-07-11 12:52:52,501: -SERVICE [/quad_rotor/x_torque_constrained] / rosrpc://Kyles-MacBook-Pro.local:51094
[rosmaster.master][INFO] 2017-07-11 12:52:52,502: -SERVICE [/quad_rotor/y_torque_constrained] / rosrpc://Kyles-MacBook-Pro.local:51094
[rosmaster.master][INFO] 2017-07-11 12:52:52,504: -SERVICE [/quad_rotor/z_torque_constrained] / rosrpc://Kyles-MacBook-Pro.local:51094
[rosmaster.master][INFO] 2017-07-11 12:52:52,507: -SERVICE [/quad_rotor/reset_orientation] / rosrpc://Kyles-MacBook-Pro.local:51094
[rosmaster.master][INFO] 2017-07-11 12:52:52,512: -SERVICE [/quad_rotor/set_pose] / rosrpc://Kyles-MacBook-Pro.local:0
[rosmaster.master][INFO] 2017-07-11 12:52:55,209: -PUB [/rosout_agg] /rosout http://172.16.244.111:41917/
[rosmaster.master][INFO] 2017-07-11 12:52:55,210: -SUB [/rosout] /rosout http://172.16.244.111:41917/
[rosmaster.master][INFO] 2017-07-11 12:52:55,211: -SERVICE [/rosout/get_loggers] /rosout rosrpc://172.16.244.111:41693
[rosmaster.master][INFO] 2017-07-11 12:52:55,212: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://172.16.244.111:41693
[rosmaster.main][INFO] 2017-07-11 12:52:55,268: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-07-11 12:52:55,268: stopping master...
[rospy.core][INFO] 2017-07-11 12:52:55,269: signal_shutdown [atexit]
